CustomerID,Title,FirstName,MiddleName,LastName,Suffix,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,LastUpdated,BikeBuyer,AvgMonthSpend,BikeBuyerText
21173,nan,Chad,C,Yuan,nan,7090CMountHood,nan,Wollongong,NewSouthWales,Australia,2500,1.11501E+12,1.98711E+13,Bachelors,Clerical,M,M,1,3,0,1,81916,2.01703E+13,1,5097,YES
13249,nan,Ryan,nan,Perry,nan,3651WillowLakeRd,nan,Shawnee,BritishColumbia,Canada,V9B2C3,7875550136,1.97207E+13,PartialCollege,Clerical,M,M,1,2,1,2,81076,2.01703E+13,1,5311,YES
29350,nan,Julia,nan,Thompson,nan,1774TiceValleyBlvd,nan,WestCovina,California,UnitedStates,91791,1205550111,1.98511E+13,Bachelors,Clerical,F,S,0,3,0,0,86387,2.01703E+13,1,5408,YES
13503,nan,Theodore,nan,Gomez,nan,2103BaldwinDr,nan,Liverpool,England,UnitedKingdom,L44HB,1.11501E+12,1.9771E+13,PartialCollege,SkilledManual,M,M,1,2,1,2,61481,2.01703E+13,1,5693,YES
22803,nan,Marshall,J,Shan,nan,AmGallberg234,nan,Werne,NordrheinWestfalen,Germany,59368,1.11501E+12,1.97502E+13,PartialCollege,SkilledManual,M,S,1,1,0,0,51804,2.01703E+13,1,5541,YES
22092,nan,Andrea,nan,Young,nan,9384AshmountWay,nan,Tacoma,Washington,UnitedStates,98403,6395550165,1.97502E+13,HighSchool,SkilledManual,F,M,1,2,2,2,61944,2.01703E+13,1,4931,YES
11229,nan,Adrian,C,Stewart,nan,6898ShawRd,nan,RedwoodCity,California,UnitedStates,94063,8125550122,1.97112E+13,PartialCollege,Manual,M,S,1,1,0,0,34919,2.01703E+13,0,5601,NO
24179,nan,Robyn,R,Blanco,nan,6270PinecreekWay,nan,LavenderBay,NewSouthWales,Australia,2060,1.11501E+12,1.99703E+13,PartialCollege,SkilledManual,F,M,0,1,0,0,61832,2.01703E+13,1,4929,YES
12127,nan,Grace,nan,Davis,nan,8188rueLamarck,nan,Dunkerque,Nord,France,59140,1.11501E+12,1.97612E+13,PartialCollege,Clerical,F,M,1,0,0,2,83834,2.01703E+13,1,5005,YES
19903,nan,Marcus,N,Nelson,nan,5ruedesBouchers,nan,Metz,Moselle,France,57000,1.11501E+12,1.97612E+13,HighSchool,Manual,M,S,0,1,0,0,26880,2.01703E+13,0,5415,NO
25924,nan,Hannah,nan,Robinson,nan,536BeechCt,nan,RedwoodCity,California,UnitedStates,94063,6095550161,1.99811E+13,PartialCollege,Clerical,F,S,0,1,0,0,77258,2.01703E+13,0,5402,NO
23033,nan,Alex,J,Turner,nan,9973McnuttAve,nan,Lakewood,California,UnitedStates,90712,6685550160,1.98104E+13,Bachelors,Management,M,M,1,3,0,0,102698,2.01703E+13,0,5829,NO
20029,nan,Jan,M,Evans,nan,7787OliveSt,nan,LosAngeles,California,UnitedStates,90012,1635550164,1.9841E+13,Bachelors,Management,F,M,1,1,1,2,108198,2.01703E+13,1,5266,YES
22031,nan,Jorge,nan,Cai,nan,7952Quartermaster,nan,Wollongong,NewSouthWales,Australia,2500,1.11501E+12,1.96008E+13,Bachelors,Professional,M,M,1,2,0,2,133762,2.01703E+13,0,525,NO
23770,nan,Jamie,nan,Carlson,nan,8191ScenicCt,nan,Maidenhead,England,UnitedKingdom,SL67RJ,1.11501E+12,1.99105E+13,PartialHighSchool,Manual,M,S,0,1,0,0,30526,2.01703E+13,0,4961,NO
23737,nan,Elena,nan,VelezAmezaga,nan,9613CaminoRoyale,nan,BeverlyHills,California,UnitedStates,90210,5455550171,1.97103E+13,PartialCollege,SkilledManual,F,M,1,2,0,2,56353,2.01703E+13,1,4904,YES
17127,nan,Makayla,A,Gray,nan,9442Lacanda,nan,Puyallup,Washington,UnitedStates,98371,1335550124,1.96506E+13,HighSchool,Clerical,F,S,1,3,1,1,79019,2.01703E+13,1,5048,YES
28130,nan,Joshua,M,Taylor,nan,1145ParaisoCt,nan,Langley,BritishColumbia,Canada,V3A4R2,9265550140,1.99302E+13,PartialCollege,SkilledManual,M,S,0,2,0,0,55387,2.01703E+13,1,510,YES
28455,nan,Raymond,E,Sara,nan,Zollstr68,Verkaufsabteilung,Darmstadt,Hessen,Germany,64283,1.11501E+12,1.98106E+13,Bachelors,Management,M,M,1,2,0,2,113276,2.01703E+13,0,5869,NO
20161,nan,Albert,G,Sanz,nan,87ruedelaComcdie,nan,Orly,ValdeMarne,France,94310,1.11501E+12,1.96306E+13,PartialCollege,Management,M,S,1,1,0,1,109259,2.01703E+13,0,523,NO
21325,nan,Angela,nan,Hayes,nan,8273GlacierDrive,nan,ElCajon,California,UnitedStates,92020,8485550112,1.98007E+13,HighSchool,Clerical,F,M,1,0,0,2,83845,2.01703E+13,0,5038,NO
12128,nan,Kristy,E,Munoz,nan,AltendorferStraue903,nan,Berlin,Hessen,Germany,12171,1.11501E+12,1.97612E+13,HighSchool,SkilledManual,F,M,1,0,2,2,59527,2.01703E+13,1,5322,YES
23679,nan,Jacob,G,Harris,nan,7987SeawindDr,nan,OakBay,BritishColumbia,Canada,V8P,5185550167,1.96111E+13,Bachelors,Management,M,S,1,1,0,1,108360,2.01703E+13,0,5188,NO
26799,nan,Ryan,G,Russell,nan,1104OSt,nan,Coronado,California,UnitedStates,92118,6965550187,1.99609E+13,PartialCollege,Clerical,M,M,0,1,0,0,87504,2.01703E+13,0,4972,NO
15726,nan,Faith,F,Barnes,nan,6176CrowStreet,nan,HerveyBay,Queensland,Australia,4655,1.11501E+12,1.99302E+13,Bachelors,SkilledManual,F,M,0,0,0,0,55461,2.01703E+13,1,4876,YES
15473,nan,Abigail,nan,Jenkins,nan,4838SecondStreet,nan,Coronado,California,UnitedStates,92118,1355550132,1.98904E+13,Bachelors,Professional,F,S,1,2,0,0,137464,2.01703E+13,1,5203,YES
28685,nan,Marshall,J,Zhu,nan,24boulevardTremblay,nan,Drancy,SeineSaintDenis,France,93700,1.11501E+12,1.99003E+13,HighSchool,Clerical,M,M,1,2,0,1,87676,2.01703E+13,1,4989,YES
12302,nan,Kevin,nan,Coleman,nan,Reiherweg5,nan,Frankfurt,Hessen,Germany,60323,1.11501E+12,1.96603E+13,Bachelors,Management,M,M,1,3,0,2,104187,2.01703E+13,1,5115,YES
23523,nan,Steve,V,Liu,nan,8358AzaleaAvenue,nan,Findon,SouthAustralia,Australia,5023,1.11501E+12,1.98308E+13,Bachelors,Clerical,M,S,0,1,0,0,78222,2.01703E+13,1,5353,YES
18713,nan,Rosa,nan,Yang,nan,5673ArlingtonCircle,nan,Newcastle,NewSouthWales,Australia,2300,1.11501E+12,1.98611E+13,GraduateDegree,Clerical,F,M,1,2,0,1,77383,2.01703E+13,0,5059,NO
24082,nan,Regina,A,Rodriguez,nan,56avenuedelY=Europe,nan,Morangis,Essonne,France,91420,1.11501E+12,1.98412E+13,HighSchool,SkilledManual,F,M,1,1,2,2,60700,2.01703E+13,1,4929,YES
27886,nan,Denise,P,Gonzalez,nan,80avenuedeMalakoff,nan,Pantin,SeineSaintDenis,France,93500,1.11501E+12,1.98009E+13,HighSchool,Manual,F,S,0,0,0,0,30913,2.01703E+13,0,490,NO
21711,nan,Hailey,J,Gray,nan,44Garcia,nan,WestCovina,California,UnitedStates,91791,6435550126,1.97811E+13,PartialCollege,Clerical,F,S,1,2,0,0,86952,2.01703E+13,1,5471,YES
22366,nan,Logan,C,Henderson,nan,1695ValleyHighDr,nan,Sooke,BritishColumbia,Canada,V0,1545550134,1.97807E+13,GraduateDegree,SkilledManual,M,M,1,2,1,2,58567,2.01703E+13,1,5564,YES
15010,nan,Cory,J,Suri,nan,9342TempleDrive,nan,Berkeley,California,UnitedStates,94704,1095550114,1.99709E+13,PartialCollege,Clerical,M,M,0,0,0,0,77478,2.01703E+13,0,5055,NO
22296,nan,Benjamin,M,Johnson,nan,4137GarciaRanchRoad,nan,LemonGrove,California,UnitedStates,91945,9135550137,1.98803E+13,Bachelors,Clerical,M,M,1,2,0,1,78406,2.01703E+13,0,5016,NO
23237,nan,Caleb,C,Young,nan,Helsenbergbogen2,nan,Kassel,Hessen,Germany,34117,1.11501E+12,1.99012E+13,PartialCollege,Clerical,M,S,0,1,0,0,85318,2.01703E+13,0,5102,NO
13832,nan,Priscilla,R,Raji,nan,51rueHenriGagnon,nan,Courbevoie,HautsdeSeine,France,92400,1.11501E+12,1.99604E+13,HighSchool,SkilledManual,F,S,0,0,0,0,52928,2.01703E+13,1,5217,YES
26026,nan,Cindy,E,Srini,nan,9099WarmcastleCt,nan,Townsville,Queensland,Australia,4810,1.11501E+12,1.98705E+13,Bachelors,Clerical,F,S,0,2,0,0,79224,2.01703E+13,1,5231,YES
17813,nan,Jay,K,Nicholls,nan,2080MountainViewDr,nan,Woolston,England,UnitedKingdom,WA14SY,1.11501E+12,1.98307E+13,PartialCollege,Manual,M,M,0,0,0,1,33076,2.01703E+13,1,5313,YES
26369,nan,Kate,J,Nath,nan,1101rueLauriston,nan,Srvres,HautsdeSeine,France,92310,1.11501E+12,1.98509E+13,HighSchool,SkilledManual,F,M,1,1,0,2,56641,2.01703E+13,0,4889,NO
18824,nan,Elijah,L,Collins,nan,2535ParkLane,nan,LaJolla,California,UnitedStates,92806,6205550143,1.98208E+13,HighSchool,Manual,M,M,1,0,0,1,27203,2.01703E+13,0,5246,NO
21064,nan,Colleen,C,Sun,nan,8188placeduTertre,nan,SaintOuen,Somme,France,80610,1.11501E+12,1.98611E+13,HighSchool,Clerical,F,S,0,3,0,0,77098,2.01703E+13,0,5021,NO
28532,nan,Tony,R,Xie,nan,4757rueSaintLazare,nan,Paris,SeineParis,France,75008,1.11501E+12,1.98812E+13,Bachelors,Management,M,M,1,3,2,2,103200,2.01703E+13,1,5397,YES
16183,nan,Tanya,nan,Carlson,nan,9435VineHillWay,nan,StLeonards,NewSouthWales,Australia,2065,1.11501E+12,1.98411E+13,Bachelors,SkilledManual,F,S,0,2,0,0,53784,2.01703E+13,0,5085,NO
25700,nan,Faith,B,Coleman,nan,2181rueMalar,nan,SaintDenis,SeineSaintDenis,France,93400,1.11501E+12,1.97408E+13,PartialCollege,Manual,F,S,0,1,0,0,25826,2.01703E+13,0,4753,NO
21746,nan,Xavier,nan,Hernandez,nan,144SantaMonica,nan,Lakewood,California,UnitedStates,90712,4045550118,1.98203E+13,HighSchool,Manual,M,M,1,0,1,1,30925,2.01703E+13,1,5048,YES
26560,nan,Lindsey,nan,Shen,nan,589WoodcrestDrive,nan,Newcastle,NewSouthWales,Australia,2300,1.11501E+12,1.97106E+13,PartialHighSchool,Manual,F,M,1,1,1,2,30288,2.01703E+13,0,5057,NO
16988,nan,Brian,R,Bailey,nan,9013RamsayCircle,nan,Oakland,California,UnitedStates,94611,6215550190,1.98504E+13,Bachelors,Manual,M,S,0,0,0,0,34685,2.01703E+13,1,481,YES
18562,nan,Mary,P,Wright,nan,5745StPaulWay,nan,Novato,California,UnitedStates,94947,1605550188,1.98906E+13,GraduateDegree,SkilledManual,F,M,0,1,1,1,58213,2.01703E+13,1,5199,YES
14996,nan,Ross,R,Gill,nan,UnterLinden934,nan,Berlin,Hamburg,Germany,10210,1.11501E+12,1.9951E+13,PartialCollege,Management,M,S,0,0,0,0,108342,2.01703E+13,1,5143,YES
26741,nan,Nichole,J,Pal,nan,2765RobbinsPlace,nan,LaneCove,NewSouthWales,Australia,1597,1.11501E+12,1.98708E+13,Bachelors,Professional,F,M,1,2,1,1,130385,2.01703E+13,1,5552,YES
19490,nan,Kristina,D,Smith,nan,11ruedeCambrai,nan,Paris,SeineParis,France,75019,1.11501E+12,1.98411E+13,PartialCollege,SkilledManual,F,S,0,2,0,0,58227,2.01703E+13,1,5076,YES
12720,nan,Nicolas,J,Chande,nan,44rueduDcpart,nan,Suresnes,HautsdeSeine,France,92150,1.11501E+12,1.99411E+13,PartialCollege,SkilledManual,M,S,0,1,0,0,52156,2.01703E+13,1,4768,YES
14050,nan,Manuel,M,Lopez,nan,2396AnconaCt,nan,Cloverdale,SouthAustralia,Australia,6105,1.11501E+12,1.98605E+13,GraduateDegree,Professional,M,S,1,2,0,0,131458,2.01703E+13,1,571,YES
